date;BCHC;BCHP;BUHC;BUHP;HC;HP;RHC;RHP;Total
2025-08-20;0;0;6994;5995;;;0;0;12989
2025-08-21;0;0;7445;5507;;;0;0;12952
2025-08-22;0;0;6756;5170;;;0;0;11926
2025-08-23;0;0;7468;5689;;;0;0;13157
2025-08-24;0;0;8649;3245;;;0;0;11894
2025-08-25;0;0;7283;3583;;;0;0;10866
2025-08-26;0;0;6111;4921;;;0;0;11032
2025-08-27;0;0;7020;5736;;;0;0;12756
2025-08-28;0;0;6843;5437;;;0;0;12280
2025-08-29;0;0;5728;8776;;;0;0;14504
2025-08-30;0;0;6126;3356;;;0;0;9482
2025-08-31;0;0;4901;3655;;;0;0;8556
2025-09-01;0;0;8066;5563;;;0;0;13629
2025-09-02;0;0;6878;6920;;;0;0;13798
2025-09-03;0;0;6399;5370;;;0;0;11769
2025-09-04;0;0;6371;7878;;;0;0;14249
2025-09-05;0;0;6197;5264;;;0;0;11461
2025-09-06;0;0;5679;6661;;;0;0;12340
2025-09-07;0;0;5445;8933;;;0;0;14378
2025-09-08;0;0;7007;6185;;;0;0;13192
2025-09-09;0;0;5345;5348;;;0;0;10693
2025-09-10;0;0;5215;6208;;;0;0;11423
2025-09-11;0;0;7345;4595;;;0;0;11940
2025-09-12;0;0;6133;7997;;;0;0;14130
2025-09-13;0;0;7280;12052;;;0;0;19332
2025-09-14;0;0;6367;12277;;;0;0;18644
2025-09-15;0;0;7820;5014;;;0;0;12834
2025-09-16;0;0;7935;7508;;;0;0;15443
2025-09-17;0;0;7557;3743;;;0;0;11300
2025-09-18;0;0;6264;5932;;;0;0;12196
2025-09-19;0;0;7341;4171;;;0;0;11512
2025-09-20;0;0;6509;13944;;;0;0;20453
2025-09-21;0;0;6626;8673;;;0;0;15299
2025-09-22;0;0;8075;4976;;;0;0;13051
2025-09-23;0;0;8192;8151;;;0;0;16343
2025-09-24;0;0;8103;8277;;;0;0;16380
2025-09-25;0;0;7201;9806;;;0;0;17007
2025-09-26;0;0;8075;8977;;;0;0;17052
2025-09-27;0;0;7053;9581;;;0;0;16634
2025-09-28;0;0;7748;9335;;;0;0;17083
2025-09-29;0;0;9413;6199;;;0;0;15612
2025-09-30;0;0;7946;4377;;;0;0;12323
2025-10-01;0;0;7086;6218;;;0;0;13304
2025-10-02;0;0;7695;6111;;;0;0;13806
2025-10-03;0;0;7327;10454;;;0;0;17781
2025-10-04;0;0;7955;8377;;;0;0;16332
2025-10-05;0;0;9690;5278;;;0;0;14968
2025-10-06;0;0;9163;7156;;;0;0;16319
2025-10-07;0;0;6009;5043;;;0;0;11052
2025-10-08;0;0;7750;8898;;;0;0;16648
2025-10-09;0;0;6748;7003;;;0;0;13751
2025-10-10;0;0;6752;11320;;;0;0;18072
2025-10-11;0;0;5782;8599;;;0;0;14381
2025-10-12;0;0;7638;9219;;;0;0;16857
2025-10-13;0;0;9647;6420;;;0;0;16067
2025-10-14;0;0;7358;6022;;;0;0;13380
2025-10-15;0;0;6703;12455;;;0;0;19158
2025-10-16;0;0;7064;6704;;;0;0;13768
2025-10-17;0;0;6297;7003;;;0;0;13300
2025-10-18;0;0;6276;12480;;;0;0;18756
2025-10-19;0;0;9222;12912;;;0;0;22134
2025-10-20;0;0;8649;9026;;;0;0;17675
2025-10-21;0;0;7403;6400;;;0;0;13803
2025-10-22;0;0;6303;6487;;;0;0;12790
2025-10-23;0;0;8090;10148;;;0;0;18238
2025-10-24;0;0;9372;13327;;;0;0;22699
2025-10-25;0;0;7947;14883;;;0;0;22830
2025-10-26;0;0;11283;12838;;;0;0;24121
2025-10-27;0;0;9992;18357;;;0;0;28349
2025-10-28;0;0;8533;12103;;;0;0;20636
2025-10-29;0;0;9187;14599;;;0;0;23786
2025-10-30;0;0;11398;13481;;;0;0;24879
2025-10-31;0;0;9750;17335;;;0;0;27085
2025-11-01;0;0;8524;11414;;;0;0;19938
2025-11-02;0;0;11162;13892;;;0;0;25054
2025-11-03;0;0;12257;11771;;;0;0;24028
2025-11-04;0;0;9943;11395;;;0;0;21338
2025-11-05;0;0;10745;14931;;;0;0;25676
2025-11-06;0;0;11913;13690;;;0;0;25603
2025-11-07;0;0;8751;19565;;;0;0;28316
2025-11-08;0;0;8242;9805;;;0;0;18047
2025-11-09;0;0;9990;16408;;;0;0;26398
2025-11-10;0;0;12832;18524;;;0;0;31356
2025-11-11;0;0;12730;16403;;;0;0;29133
2025-11-12;0;0;12872;12445;;;0;0;25317
2025-11-13;0;0;11689;17857;;;0;0;29546
2025-11-14;0;0;9339;11056;;;0;0;20395
2025-11-15;0;0;9036;16073;;;0;0;25109
2025-11-16;0;0;12121;18817;;;0;0;30938
2025-11-17;0;0;14240;22390;;;0;0;36630
2025-11-18;0;0;11942;25594;;;0;0;37536
2025-11-19;0;0;12568;32841;;;0;0;45409
2025-11-20;1666;25814;11603;0;;;0;0;39083
2025-11-21;11220;41579;0;0;;;0;0;52799
2025-11-22;15138;0;1694;15639;;;0;0;32471
2025-11-23;0;0;16115;19930;;;0;0;36045
2025-11-24;0;0;18109;23577;;;0;0;41686
2025-11-25;0;0;13956;22885;;;0;0;36841
2025-11-26;1682;28276;14333;0;;;0;0;44291
2025-11-27;12896;32572;0;0;;;0;0;45468
2025-11-28;11804;0;1701;24221;;;0;0;37726
2025-11-29;0;0;14843;31267;;;0;0;46110
2025-11-30;0;0;14828;21589;;;0;0;36417
2025-12-01;0;0;17427;29971;;;0;0;47398
2025-12-02;1778;24648;14473;0;;;0;0;40899
2025-12-03;15200;26761;0;0;;;0;0;41961
2025-12-04;13497;0;1793;26189;;;0;0;41479
2025-12-05;0;0;16990;32746;;;0;0;49736
2025-12-06;0;0;17321;25903;;;0;0;43224
2025-12-07;0;0;11487;17115;;;0;0;28602
2025-12-08;0;0;12316;16777;;;0;0;29093
2025-12-09;0;0;11759;14837;;;0;0;26596
2025-12-10;0;0;9238;12035;;;0;0;21273
2025-12-11;0;0;17309;25874;;;0;0;43183
2025-12-12;1669;22420;11430;0;;;0;0;35519
2025-12-13;8961;0;1743;20428;;;0;0;31132
2025-12-14;0;0;12244;25376;;;0;0;37620
2025-12-15;0;0;16136;21240;;;0;0;37376
2025-12-16;1643;15633;11550;0;;;0;0;28826
2025-12-17;11977;19514;0;0;;;0;0;31491
2025-12-18;8491;0;1593;23720;;;0;0;33804
2025-12-19;1687;18837;10516;0;;;0;0;31040
2025-12-20;13375;0;1704;24935;;;0;0;40014
2025-12-21;0;0;12943;19372;;;0;0;32315
2025-12-22;2097;21288;13196;0;;;0;0;36581
2025-12-23;12955;0;2419;32459;;;0;0;47833
2025-12-24;0;0;17692;34005;;;0;0;51697
2025-12-25;0;0;17533;22979;;;0;0;40512
2025-12-26;1423;8697;16623;0;;;0;0;26743
2025-12-27;5445;7630;0;0;;;0;0;13075
2025-12-28;5460;0;1690;6867;;;0;0;14017
2025-12-29;0;0;4691;0;;;2737;2928;10356
2025-12-30;2573;3019;0;0;;;5206;0;10798
2025-12-31;5726;0;0;0;;;3194;2889;11809
2026-01-01;;;;;;;;;
2026-01-02;14510;32935;0;0;;;0;0;47445
2026-01-03;21721;17686;0;0;;;0;0;39407
2026-01-04;15652;0;4234;15593;;;0;0;35479
2026-01-05;0;0;21702;0;;;3502;9551;34755
2026-01-06;0;0;0;0;;;21893;8881;30774
2026-01-07;0;0;0;0;;;21888;7665;29553
2026-01-08;1580;36934;0;0;;;14964;0;53478
2026-01-09;15873;0;2482;33111;;;0;0;51466
2026-01-10;2956;37971;16444;0;;;0;0;57371
2026-01-11;20348;0;2470;20146;;;0;0;42964
2026-01-12;0;0;19234;26460;;;0;0;45694
2026-01-13;0;0;15040;19087;;;0;0;34127
2026-01-14;1873;22469;12614;0;;;0;0;36956
2026-01-15;11739;0;1662;21208;;;0;0;34609
2026-01-16;1771;21998;14378;0;;;0;0;38147
2026-01-17;12059;0;1679;22099;;;0;0;35837
2026-01-18;0;0;14604;22334;;;0;0;36938
2026-01-19;1680;21488;17281;0;;;0;0;40449
2026-01-20;15276;18225;0;0;;;0;0;33501
2026-01-21;10581;0;1597;15921;;;0;0;28099
2026-01-22;1166;19205;13572;0;;;0;0;33943
2026-01-23;13355;0;2117;27880;;;0;0;43352
2026-01-24;;;14400;22100;;;;;36500
2026-01-25;;;24400;15600;;;;;40000
2026-01-26;;;;;12800;12300;;;25100
2026-01-27;;;;;14700;24600;;;39300
2026-01-28;;;;;15800;26100;;;41900
2026-01-29;;;;;17400;15700;;;33100
2026-01-30;;;;;12000;22900;;;34900
2026-01-31;;;;;16600;25200;;;41800
2026-02-01;;;;;15500;18000;;;33500
2026-02-02;;;;;15500;23100;;;38600
2026-02-03;;;;;16300;21300;;;37600

